date,title,stars,review,no_scent,noscent_counter
2021-11-09,Fragrance,5.0 out of 5 stars,"Like the fragrance, but to expensive .",False,0
2021-11-02,This should never have been sold,1.0 out of 5 stars,"I knew there was some damage, but not smashed. Who at Amazon thought this could be resold? Disgusting! I had broken glass all over my counter top. This was dangerous and irresponsible. The jar itself was smashed. No way it was useable. I am very upset. I will never buy a returned item again. I was very lucky not to be cut.
An imperfection, OK. The discount accounts for that. Garbage? Criminal.
Is Amazon too busy now to do things right?",False,0
2021-05-03,Arrived Broken,1.0 out of 5 stars,"product arrived broken and glass everywhere, resulting in a cut hand.",False,0
2021-04-25,Big fresh smelling candle. Well worth it,5.0 out of 5 stars,Turned the basement smell to a more fresh outdoors style smell. Well worth it,False,0
2021-04-13,So mad Awful no scent and wick no return due to me not able to travel to open box,1.0 out of 5 stars,Horrible. Didn’t burn cause no wick. Couldn’t send back due to me unable to travel due to Covid regulations tried using as wax melting and no scent. Really upset,True,1
2021-04-08,Nice candle was not cheap,4.0 out of 5 stars,Nice scent. A bit pricey,False,0
2021-03-22,Smells Great,5.0 out of 5 stars,My wife loves this,False,0
2021-02-25,smells great,4.0 out of 5 stars,love the smell of Balsam and Ceder,False,0
2021-02-24,J'adore,5.0 out of 5 stars,Ça sent vraiment l'épinette. J'adore,False,0
2021-02-24,Not impressed with smell,1.0 out of 5 stars,Barely smelled like its noted to smell. Ended up tossing it out.,True,1
2021-02-23,The scent is amazing,5.0 out of 5 stars,Love these candle..they are the best..,False,0
2021-02-20,Not Overwhelmed but OK...,4.0 out of 5 stars,"The scent was there but while burning, hard to detect, seemed to me. The longevity was pretty much as advertised. I was disappointed with the lack of scent when simply standing unlit too. Just kind of bland. Overall, probably won't buy this one again.",True,1
2021-02-18,A good candle.,5.0 out of 5 stars,Been using it pretty often for a couple months and still have more than half left.,False,0
2021-02-14,Best smell,5.0 out of 5 stars,Yankee Balsam and cedar is so far the best smelling candle I've ordered on amazon.,False,0
2021-02-13,Odeur +++,5.0 out of 5 stars,"Fidèle aux Yankee Candle. Odeur parfaite, longévité.",False,0
2021-02-11,I enjoy the calming effect of candles!,5.0 out of 5 stars,I enjoyed the candle scents and long lasting burning time!! I enjoy candles as they are calming and soothing to a very hectic work day!!,False,0
2021-01-28,Love the smell!!!,5.0 out of 5 stars,Will definitely be buying other scents,False,0
2021-01-17,The smell wasn't what I was expecting,2.0 out of 5 stars,Not much scent to it. The candle was a good size though,True,1
2021-01-14,Smells like Christmas time !,4.0 out of 5 stars,Very nice and I would by it again. 🙂,False,0
2021-01-14,smells awesome,5.0 out of 5 stars,"delivered quickly, used for gift",False,0
2021-01-12,Smell good,3.0 out of 5 stars,Great candle until you have to try and light it when it gets closer to the bottom and all you have is a lighter. Maybe they should make the glass shorter and wider.,False,0
2021-01-09,Don't waste your money...,1.0 out of 5 stars,"Bought this as a gift for a friend. It looks very cheap like it was bought at a Dollar Store. My friend advised that it did not have a strong scent. Considering it was an expensive candle, don't waste your money on thus one!",True,1
2021-01-07,Wonderful scent,5.0 out of 5 stars,Usually Yankee Candles burn for a long time. This scent burnt very quickly while both the cinnamon & balsam burnt approx 40% longer.,False,0
2021-01-06,Great,5.0 out of 5 stars,Candle is wonderful! Smells like Christmas! Lasts for hours (8 to date). Highly recommend!,False,0
2021-01-05,Bonne senteur,5.0 out of 5 stars,Bon produit,False,0
2021-01-03,Great candle!,4.0 out of 5 stars,Beautiful Christmas tree scent!,False,0
2021-01-03,Not for asthmatics,1.0 out of 5 stars,"Liked this at first; good scent that is not too strong and slowly builds over about 30 minutes. Doesn't smell unnatural or perfumey. However I became aware after about 3 uses that it badly exacerbates my asthma, which is well controlled.",False,0
2020-12-29,Excellent product,5.0 out of 5 stars,I bought this candle for Christmas time. It works perfect. Smell so good. No complaints at all. I would recommend it 100%.,False,0
2020-12-29,Not a strong sent,1.0 out of 5 stars,"I think this candle is overpriced for what you receive. The traditional glass container is nice, but there is not a strong scent from this candle. I had it burning all day, and each time any guest arrived, they could not really smell the scent. I purchased this brand because I heard good things about them, but honestly I can find much nicer candles with plenty of the natural scent oils. I really hate leaving negative feedback but I wouldn't purchase this brand again.",True,1
2020-12-28,Delicious fragrance,5.0 out of 5 stars,Yankee candle always delights,False,0
2020-12-25,Nice scent,5.0 out of 5 stars,Very nice,False,0
2020-12-21,the scent is not what it should be.,1.0 out of 5 stars,also price too high.,True,1
2020-12-21,No scent,2.0 out of 5 stars,Don’t smell it at all was disappointed,True,1
2020-12-15,Great scent.,5.0 out of 5 stars,Great scent.,False,0
2020-12-15,SCAM,1.0 out of 5 stars,"SCAM.

Doesn’t smell like Christmas. Doesn’t smell
Like anything, actually. Flame smokes even after I trimmed it. No scent of cedar or Forrest. Any review that suggests it does is a fabrication in my view. Will be returning it in the morning.",True,1
2020-12-13,The candle scent is amazing. Great for Christmas. The candle burns well.,5.0 out of 5 stars,I love this candle. They are a bit pricey but worth it if it is what you want.,False,0
2020-12-12,Smell so natural and perfect,5.0 out of 5 stars,The smell is strong but yet not overwhelming! It is PERFECT,False,0
2020-12-11,Pleasant aroma...,5.0 out of 5 stars,"Its long lasting, and really adds holiday essence to the home.",False,0
2020-12-11,Don’t buy this candle.,1.0 out of 5 stars,Very disappointed with this candle. There is virtually no scent at all. I wouldn’t recommend this candle.,True,1
2020-12-09,Long lasting candle,5.0 out of 5 stars,No other scented candle gives an aroma that great.,False,0
2020-12-08,Goos,3.0 out of 5 stars,Don’t like this smell very much...,True,1
2020-12-07,Doesn’t smell like pine.,1.0 out of 5 stars,It doesn’t smell like Pine in the slightest. Very disappointed,True,1
2020-12-07,Just what i wanted,5.0 out of 5 stars,Beautiful scent! Long lasting,False,0
